"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"TCEHY","Tencent Holdings Ltd. Unsponsored ADRs","Pink","China","HK:0700","Hong Kong Exchange","Communication Services","$629,226,518,968","2.05%","17,735,152","Analyze"
"LVMUY","LVMH Moet Hennessy Louis Vuitton SE Unsponsored ADRs","Pink","France","FP:MC","Euronext Paris","Consumer Discretionary","$378,618,479,984","4.67%","159,749","Analyze"
"LVMHF","LVMH MoÃ«t Hennessy Louis Vuitton Sponsored ADRs","Pink","France","FP:MC","Euronext Paris","Consumer Discretionary","$376,574,212,761","0.94%","1,062","Analyze"
"NSRGY","Nestle S.A. Sponsored ADRs","Pink","Switzerland","VX:NESN","Six Swiss - Blue Chips Segment","Consumer Staples","$344,950,100,000","2.24%","260,603","Analyze"
"RHHBY","Roche Holding Ltd Sponsored ADRs","OTCQX","Switzerland","VX:ROG","Six Swiss - Blue Chips Segment","Health Care","$272,875,352,680","18.74%","561,527","Analyze"
"LRLCY","L Oreal SA Unsp/Adrs","Pink","France","FP:OR","Euronext Paris","Consumer Staples","$234,305,784,922","0.00%","88,965","Analyze"
"MPNGY","Meituan Unsp/Adrs","Pink","China","HK:3690","Hong Kong Exchange","Consumer Discretionary","$205,911,246,498","0.00%","30,093","Analyze"
"PROSY","Prosus Nv Sponsored ADRs","Pink","The Netherlands","NA:PRX","Nyse Euronext - Euronext Amsterdam","Consumer Discretionary","$186,109,513,549","0.91%","692,296","Analyze"
"CICHY","China Construction Bank Corporation Unsponsored ADRs Class H","Pink","China","CG:601939","Shanghai Stock Exchange","Financials","$169,373,987,850","2.31%","41,257","Analyze"
"HESAY","Hermes Intl Sa Unsp/Adrs","Pink","France","FP:RMS","Euronext Paris","Consumer Discretionary","$156,427,476,231","2.06%","0","Analyze"
"AAGIY","AIA Group Limited Sponsored ADRs","Pink","Hong Kong","HK:1299","Hong Kong Exchange","Financials","$140,714,130,833","0.38%","160,578","Analyze"
"SIEGY","Siemens AG Sponsored ADRs","Pink","Germany","GF:SIE","Frankfurt Stock Exchange","Industrials","$139,060,000,000","4.28%","109,983","Analyze"
"CMWAY","Commonwealth Bank of Australia Sponsored ADRs","Pink","Australia","AT:CBA","Asx - All Markets","Financials","$138,752,080,226","4.48%","27,446","Analyze"
"OGZPY","Gazprom PJSC Sponsored ADRs","Pink","Russia","RX:GAZP","Standard-Classica-Forts","Energy","$122,392,061,693","6.38%","443,179","Analyze"
"IDEXY","Industria de Diseno Textil Inditex SA Unsp/Adrs","Pink","Spain","SM:ITX","Bolsa De Madrid","Consumer Discretionary","$115,160,291,400","1.19%","253,441","Analyze"
"SBRCY","Sberbank Russia PJSC Sponsored ADRs","Pink","Russia","RX:SBER","Standard-Classica-Forts","Financials","$113,061,640,150","5.71%","95,762","Analyze"
"RCRUY","Recruit Holdings Co Adrs","Pink","Japan","JT:6098","Tokyo Stock Exchange","Industrials","$108,965,431,928","0.29%","277,653","Analyze"
"NTTYY","Nippon Telegraph and Telephone Corporation Sponsored ADRs","Pink","Japan","JT:9432","Tokyo Stock Exchange","Communication Services","$106,335,506,504","3.25%","123,231","Analyze"
"EADSY","Airbus SE Unsponsored ADRs","Pink","The Netherlands","FP:AIR","Euronext Paris","Industrials","$102,277,028,578","5.37%","518,987","Analyze"
"DMLRY","Daimler Ag Unsp / Adrs","Pink","Germany","GF:DAI","Frankfurt Stock Exchange","Consumer Discretionary","$102,233,666,435","5.65%","179,488","Analyze"
"CSLLY","Csl Ltd Sponsored ADRs","Pink","Australia","AT:CSL","Asx - All Markets","Health Care","$101,842,572,875","1.99%","26,223","Analyze"
"SFTBY","Softbank Grp Unsp/Adrs","Pink","Japan","JT:9984","Tokyo Stock Exchange","Communication Services","$98,552,953,356","0.57%","587,981","Analyze"
"ADYEY","Adyen N.V Unponsored ADRs","Pink","The Netherlands","NA:ADYEN","Nyse Euronext - Euronext Amsterdam","Communication Services","$95,535,405,745","0.00%","150,562","Analyze"
"ALIZY","Allianz Se Unsp/Adrs","Pink","Germany","GF:ALV","Frankfurt Stock Exchange","Financials","$95,445,859,132","41.47%","79,515","Analyze"
"SBGSY","Schneider Elec Unsp/Adrs","Pink","France","FP:SU","Euronext Paris","Industrials","$94,408,338,362","7.84%","96,449","Analyze"
"PPRUY","Kering Sa Unsp/Adrs","Pink","France","FP:KER","Euronext Paris","Consumer Discretionary","$91,363,093,013","7.53%","0","Analyze"
"VWAGY","Volkswagen AG Unsponsored ADRs","Pink","Germany","GF:VOW","Frankfurt Stock Exchange","Communication Services","$91,286,035,198","15.71%","39,800","Analyze"
"DTEGY","Deutsche Telekom AG Sponsored ADRs","OTCQX","Germany","GF:DTE","Frankfurt Stock Exchange","Communication Services","$91,134,317,527","3.13%","209,583","Analyze"
"ESLOY","Essilor Lxttca Unsp/Adrs","Pink","France","FP:EI","Euronext Paris","Consumer Discretionary","$86,185,438,177","1.11%","23,647","Analyze"
"BNPQY","BNP Paribas SA Sponsored ADRs","OTCQX","France","FP:BNP","Euronext Paris","Financials","$84,761,338,407","3.27%","156,283","Analyze"
"ENLAY","Enel SpA Unsponsored ADRs","Pink","Italy","IM:ENEL","Borsa Italiana S.P.A.","Utilities","$83,570,109,156","2.23%","314,627","Analyze"
"HKXCY","Hong Kong Exchanges & Clearing Unsp/Adrs","Pink","Hong Kong","HK:0388","Hong Kong Exchange","Financials","$79,277,841,044","14.63%","22,589","Analyze"
"NPSNY","Naspers Limited Sponsored ADRs Class N","Pink","South Africa","SJ:NPN","Johannesburg Stock Exchange","Consumer Discretionary","$79,023,481,474","1.23%","982,453","Analyze"
"AIQUY","L Air Liquide Sa Unsp/Adrs","Pink","France","FP:AI","Euronext Paris","Materials","$78,784,382,202","8.27%","0","Analyze"
"DPSGY","Deutsche Post AG Sponsored ADRs","Pink","Germany","GF:DPW","Frankfurt Stock Exchange","Industrials","$77,541,576,875","2.16%","54,051","Analyze"
"SMMNY","Siemens Healthineers Adrs","Pink","Germany","GY:SHL","Deutsche Boerse Xetra","Health Care","$76,027,200,000","2.37%","27,029","Analyze"
"KDDIY","Kddi Corp Unsp/Adrs","Pink","Japan","JT:9433","Tokyo Stock Exchange","Communication Services","$73,871,996,373","3.37%","146,773","Analyze"
"SHECY","Shin-Etsu Chem Unsp/Adrs","Pink","Japan","JT:4063","Tokyo Stock Exchange","Materials","$72,132,662,724","1.50%","46,678","Analyze"
"DASTY","Dassault Systemes SA Sponsored ADRs","Pink","France","FP:DSY","Euronext Paris","Information Technology","$72,082,588,344","0.21%","66,918","Analyze"
"LUKOY","Oil company LUKOIL PJSC Sponsored ADRs","Pink","Russia","RX:LKOH","Standard-Classica-Forts","Energy","$71,780,892,943","6.21%","38,407","Analyze"
"IBDRY","Iberdrola SA Sponsored ADRs","Pink","Spain","SM:IBE","Bolsa De Madrid","Utilities","$71,491,168,240","0.93%","61,253","Analyze"
"NABZY","National Australia Bank Limited Sponsored ADRs","Pink","Australia","AT:NAB","Asx - All Markets","Financials","$70,822,092,744","8.34%","88,349","Analyze"
"TOELY","Tokyo Electron Unsp/Adrs","Pink","Japan","JT:8035","Tokyo Stock Exchange","Information Technology","$70,682,025,586","2.85%","54,170","Analyze"
"FRCOY","Fast Retailing Unsp/Adrs","Pink","Japan","JT:9983","Tokyo Stock Exchange","Consumer Discretionary","$70,263,189,734","0.70%","37,692","Analyze"
"GLNCY","Glencore Plc Unsp/Adrs","Pink","Switzerland","LN:GLEN","London Stock Exchange","Materials","$69,262,203,068","1.15%","506,890","Analyze"
"BASFY","BASF SE Sponsored ADRs","OTCQX","Germany","GF:BAS","Frankfurt Stock Exchange","Materials","$68,213,575,646","17.77%","173,241","Analyze"
"AXAHY","AXA SA Sponsored ADRs","OTCQX","France","FP:CS","Euronext Paris","Financials","$67,444,891,183","5.13%","113,550","Analyze"
"DKILY","Daikin Industries Ltd Unsp/Adrs","Pink","Japan","JT:6367","Tokyo Stock Exchange","Industrials","$66,595,494,666","1.03%","161,153","Analyze"
"NJDCY","Nidec Corp Adrs","Pink","Japan","JT:6594","Tokyo Stock Exchange","Industrials","$65,877,508,025","0.62%","78,828","Analyze"
"WXXWY","Wuxi Biologics  Unsp/Adrs","Pink","China","HK:2269","Hong Kong Exchange","Health Care","$64,618,997,173","0.00%","48,586","Analyze"
"ZURVY","Zurich Insurance Group Ltd Sponsored ADRs","OTCQX","Switzerland","VX:ZURN","Six Swiss - Blue Chips Segment","Financials","$64,005,755,042","53.14%","129,281","Analyze"
"VCISY","Vinci Sa Unsp/Adrs","Pink","France","FP:DG","Euronext Paris","Industrials","$63,187,066,906","10.19%","64,520","Analyze"
"ADDYY","adidas AG Sponsored ADRs","OTCQX","Germany","GF:ADS","Frankfurt Stock Exchange","Consumer Discretionary","$62,862,540,901","1.91%","27,369","Analyze"
"HEINY","Heineken NV Sponsored ADRs","OTCQX","The Netherlands","NA:HEIA","Nyse Euronext - Euronext Amsterdam","Consumer Staples","$61,044,756,926","1.85%","27,940","Analyze"
"WMMVY","Wal-Mart de Mexico SAB de CV Sponsored ADRs Class V","OTCQX","Mexico","MM:WALMEX","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$60,887,910,971","2.58%","23,489","Analyze"
"ANZBY","Australia and New Zealand Banking Group Limited Sponsored ADRs","Pink","Australia","AT:ANZ","Asx - All Markets","Financials","$60,097,470,031","4.97%","100,778","Analyze"
"BMWYY","Bayerische Motoren Werke Aktiengesellschaft Sponsored ADRs","Pink","Germany","GF:BMW","Frankfurt Stock Exchange","Consumer Discretionary","$60,012,901,089","5.72%","36,193","Analyze"
"XIACY","Xiaomi Corp Unsp/Adrs","Pink","Hong Kong","HK:1810","Hong Kong Exchange","Information Technology","$59,931,148,230","0.00%","0","Analyze"
"DBSDY","DBS Group Holdings Ltd Sponsored ADRs","Pink","Singapore","SP:D05","Singapore Exchange","Financials","$59,623,422,046","0.94%","37,989","Analyze"
"PDRDY","Pernod Ricard SA Unsponsored ADRs","Pink","France","FP:RI","Euronext Paris","Consumer Staples","$59,288,853,184","6.89%","57,078","Analyze"
"DNNGY","Orsted A/S Unsp/Adrs","Pink","Denmark","DC:ORSTED","Omx Nordic Exchange Copenhagen A/S","Utilities","$58,630,549,228","24.74%","106,397","Analyze"
"LZAGY","Lonza Group Ag Unsp/Adrs","Pink","Switzerland","VX:LONN","Six Swiss - Blue Chips Segment","Health Care","$58,282,968,753","3.83%","22,201","Analyze"
"CHGCY","Chugai Pharmaceutical Co Unsp/Adrs","Pink","Japan","JT:4519","Tokyo Stock Exchange","Health Care","$58,263,301,045","1.23%","120,551","Analyze"
"NTDOY","NINTENDO CO LTD Unsponsored ADRs","Pink","Japan","JT:7974","Tokyo Stock Exchange","Communication Services","$58,233,259,600","2.03%","1,106,885","Analyze"
"LNSTY","London Stock Exchange Group plc Sponsored ADRs","Pink","United Kingdom","LN:LSE","London Stock Exchange","Financials","$57,794,949,989","2.71%","155,320","Analyze"
"HOCPY","HOYA CORPORATION Sponsored ADRs","Pink","Japan","JT:7741","Tokyo Stock Exchange","Health Care","$57,747,455,524","57.62%","17,262","Analyze"
"IFNNY","Infineon Technologies AG Sponsored ADRs","OTCQX","Germany","GF:IFX","Frankfurt Stock Exchange","Information Technology","$57,656,418,199","0.50%","176,199","Analyze"
"DSDVY","Dsv Panalpna A/S Unsp/Adrs","Pink","Denmark","DC:DSV","Omx Nordic Exchange Copenhagen A/S","Industrials","$57,600,000,000","3.33%","25,300","Analyze"
"HTHIY","Hitachi Ltd Sponsored ADRs","Pink","Japan","JT:6501","Tokyo Stock Exchange","Information Technology","$57,203,316,592","88.86%","36,787","Analyze"
"PNGAY","Ping An Insurance (Group) Company of China Ltd. Sponsored ADRs Class H","Pink","China","CG:601318","Shanghai Stock Exchange","Financials","$56,061,635,205","15.14%","251,851","Analyze"
"ISNPY","Intesa Sanpaolo S.p.A. Sponsored ADRs","Pink","Italy","IM:ISP","Borsa Italiana S.P.A.","Financials","$55,473,972,739","0.21%","97,436","Analyze"
"SAFRY","Safran Sa Unspon/ Adrs","Pink","France","FP:SAF","Euronext Paris","Industrials","$55,062,167,818","1.33%","76,456","Analyze"
"DNZOY","Denso Corp Unsp/Adrs","Pink","Japan","JT:6902","Tokyo Stock Exchange","Consumer Discretionary","$54,762,174,095","0.00%","8,375","Analyze"
"ATLKY","Atlas Copco AB Sponsored ADRs Class A","Pink","Sweden","SS:ATCO-A","Nasdaq Omx Nordic","Industrials","$54,283,616,188","1.22%","52,149","Analyze"
"BAYRY","Bayer AG Sponsored ADRs","Pink","Germany","GF:BAYN","Frankfurt Stock Exchange","Health Care","$54,269,106,290","14.48%","313,715","Analyze"
"MQBKY","Macquarie Group Limited Sponsored ADRs","Pink","Australia","AT:MQG","Asx - All Markets","Financials","$53,339,206,701","3.25%","8,809","Analyze"
"RBGLY","Reckitt Benckiser Group plc Sponsored ADRs","Pink","United Kingdom","LN:RB","London Stock Exchange","Consumer Staples","$53,316,233,582","11.69%","205,861","Analyze"
"NILSY","MMC Norilsk Nickel PJSC ADRs","Pink","Russia","RX:GMKN","Standard-Classica-Forts","Materials","$52,569,147,127","6.55%","43,479","Analyze"
"MRAAY","Murata Mfg Inc Unsp/Adrs","Pink","Japan","JT:6981","Tokyo Stock Exchange","Information Technology","$51,578,145,926","1.49%","0","Analyze"
"NRDBY","Nordea Bank Abp Sponsored ADRs","Pink","Sweden","FH:NDA-FI","Nasdaq Omx Helsinki Ltd.","Financials","$51,514,983,414","3.07%","95,479","Analyze"
"NGLOY","Anglo American plc Sponsored ADRs","OTCQX","United Kingdom","LN:AAL","London Stock Exchange","Materials","$49,300,000,000","12.32%","101,820","Analyze"
"IDCBY","Industrial and Commercial Bank of China Limited Unsponsored ADRs Class H","Pink","China","CG:601398","Shanghai Stock Exchange","Financials","$48,865,047,087","2.36%","68,347","Analyze"
"SXYAY","Sika Ag Adrs","Pink","Switzerland","VX:SIKA","Six Swiss - Blue Chips Segment","Materials","$48,418,266,140","7.32%","43,212","Analyze"
"DSNKY","Daiichi Sankyo Company Limited Sponsored ADRs","Pink","Japan","JT:4568","Tokyo Stock Exchange","Health Care","$47,595,246,839","1.58%","53,630","Analyze"
"WFAFY","Wesfarmers Ltd Unsp/Adrs","Pink","Australia","","","Unknown","$47,167,754,067","8.56%","0","Analyze"
"YAHOY","Z Holdings Corp Uns/Adrs","Pink","Japan","JT:4689","Tokyo Stock Exchange","Communication Services","$47,041,063,255","45.24%","72,726","Analyze"
"ITOCY","Itochu Corp Unsp/Adrs","Pink","Japan","JT:8001","Tokyo Stock Exchange","Industrials","$46,694,807,012","3.38%","19,342","Analyze"
"JMHLY","Jardine Matheson Holdings Limited Sponsored ADRs","Pink","Hong Kong","SP:J36","Singapore Exchange","Industrials","$46,563,628,993","3.02%","14,188","Analyze"
"ANPDY","Anta Sports Prds Unsp/Adrs","Pink","China","","","Unknown","$45,813,857,229","0.21%","0","Analyze"
"VWAPY","Volkswagen Ag Pfd Uns/Adrs","Pink","Germany","","","Unknown","$45,550,782,801","22.00%","0","Analyze"
"FANUY","Fanuc Corporation Unsponsored ADRs","Pink","Japan","JT:6954","Tokyo Stock Exchange","Industrials","$44,696,400,000","2.42%","335,654","Analyze"
"DANOY","Danone SA ADRs","OTCQX","France","FP:BN","Euronext Paris","Consumer Staples","$44,387,162,000","15.03%","904,674","Analyze"
"GVDNY","Givaudan Sa Unsp/Adrs","Pink","Switzerland","VX:GIVN","Six Swiss - Blue Chips Segment","Materials","$42,907,319,944","68.86%","9,926","Analyze"
"CLLNY","Cellnex Telecom Unsp/Adrs","Pink","","","","Unknown","$42,349,290,314","0.05%","0","Analyze"
"EXPGY","Experian PLC Sponsored ADRs","OTCQX","United Kingdom","LN:EXPN","London Stock Exchange","Industrials","$41,654,924,049","1.04%","34,491","Analyze"
"FUJIY","Fujifilm Hldgs Corp Adrs","Pink","Japan","","","Information Technology","$41,339,884,730","1.62%","0","Analyze"
"MURGY","Muenchener Re Gp Unsp/Adrs","Pink","Germany","","","Unknown","$40,698,739,456","33.73%","70,083","Analyze"
"JAPAY","Japan Tobacco Unsp/Adrs","Pink","Japan","JT:2914","Tokyo Stock Exchange","Consumer Staples","$40,040,000,000","5.64%","22,971","Analyze"
"OVCHY","Overseas Chinse Unsp/Adrs","Pink","Singapore","SP:O39","Singapore Exchange","Financials","$39,895,610,108","2.31%","18,795","Analyze"
"SMCAY","SMC Corp Sponsored ADRs","Pink","Japan","JT:6273","Tokyo Stock Exchange","Industrials","$39,720,974,066","0.85%","168,301","Analyze"
"VWDRY","Vestas Wind Sys Unsp/Adrs","Pink","Denmark","DC:VWS","Omx Nordic Exchange Copenhagen A/S","Industrials","$39,627,191,282","1.74%","311,206","Analyze"
"DNBBY","Dnb Asa Sp/Adrs","Pink","Norway","","","Unknown","$39,115,709,480","3.90%","0","Analyze"
"FJTSY","Fujitsu Ltd Unsp/Adrs","Pink","Japan","","","Information Technology","$39,006,905,645","1.44%","0","Analyze"
"HXGBY","Hexagon Ab Unsp/Adrs","Pink","Sweden","SS:HEXA-B","Nasdaq Omx Nordic","Information Technology","$38,465,899,691","0.60%","69,960","Analyze"
"TTNDY","Techtronic Industries Co. Ltd. Sponsored ADRs","Pink","Hong Kong","HK:0669","Hong Kong Exchange","Industrials","$38,344,591,236","0.21%","14,602","Analyze"
"KBCSY","KBC Group NV Unsp/Adrs","Pink","Belgium","BB:KBC","Nyse Euronext - Euronext Brussels","Financials","$38,285,895,989","3.13%","29,546","Analyze"
"BYDDY","BYD Company Limited Unsponsored ADRs","Pink","China","HK:1211","Hong Kong Exchange","Consumer Discretionary","$38,225,800,000","0.20%","294,543","Analyze"
"SUHJY","Sun Hung Kai Properties Limited Sponsored ADRs","Pink","Hong Kong","HK:0016","Hong Kong Exchange","Real Estate","$38,221,721,814","37.53%","58,355","Analyze"
"MITSY","Mitsui & Co.Ltd Sponsored ADRs","Pink","Japan","JT:8031","Tokyo Stock Exchange","Industrials","$37,811,953,900","18.46%","3,295","Analyze"
"CODYY","Compagnie de Saint-Gobain Unsp/Adrs","Pink","France","FP:SGO","Euronext Paris","Industrials","$37,740,641,066","9.39%","85,086","Analyze"
"VIVHY","Vivendi Sa Unsp/Adrs","Pink","France","","","Communication Services","$37,635,648,564","1.77%","0","Analyze"
"TKOMY","Tokio Marine Holdings Inc. Sponsored ADRs","Pink","Japan","JT:8766","Tokyo Stock Exchange","Financials","$37,560,375,000","3.84%","39,436","Analyze"
"CGEMY","Capgemini SE Unsp/Adrs","Pink","France","FP:CAP","Euronext Paris","Information Technology","$37,149,542,624","4.43%","18,422","Analyze"
"EVVTY","Evolution Gaming Unsp/Adrs","Pink","Sweden","SS:EVO","Nasdaq Omx Nordic","Consumer Discretionary","$37,076,551,781","0.39%","23,035","Analyze"
"RDSMY","Koninklijke DSM N.V. Sponsored ADRs","OTCQX","The Netherlands","NA:DSM","Nyse Euronext - Euronext Amsterdam","Materials","$37,075,612,471","4.53%","10,956","Analyze"
"SVNDY","Seven & I Holdings Unsp/Adrs","Pink","Japan","JT:3382","Tokyo Stock Exchange","Consumer Staples","$37,017,817,210","2.24%","58,050","Analyze"
"VLVLY","Volvo Ab Unsp/Adrs","Pink","Sweden","","","Industrials","$36,963,560,491","2.08%","0","Analyze"
"CMPGY","Compass Group Plc Sponsored ADRs","Pink","United Kingdom","LN:CPG","London Stock Exchange","Consumer Discretionary","$36,836,608,558","2.41%","139,024","Analyze"
"ASHTY","Ashted Grp Plc Unsp/Adrs","Pink","United Kingdom","","","Unknown","$36,585,575,470","0.18%","0","Analyze"
"VONOY","Vonovia Se Unsp/Adrs","Pink","Germany","GY:VNA","Deutsche Boerse Xetra","Real Estate","$36,287,232,187","5.36%","29,122","Analyze"
"HSNGY","Hang Seng Bank Limited Sponsored ADRs","Pink","Hong Kong","HK:0011","Hong Kong Exchange","Financials","$35,847,056,250","30.93%","1,385","Analyze"
"PDYPY","Flutter Entmt Unsp/Adrs","Pink","Ireland","","","Unknown","$34,840,883,718","2.69%","0","Analyze"
"GZPFY","Gazprom Neft PJSC Sponsored ADRs","Pink","Russia","RX:SIBN","Standard-Classica-Forts","Energy","$34,488,213,581","41.24%","8,229","Analyze"
"BHKLY","BOC Hong Kong (Holdings) Limited Sponsored ADRs","Pink","Hong Kong","HK:2388","Hong Kong Exchange","Financials","$34,451,404,477","1.91%","17,229","Analyze"
"TLSYY","Telstra Corporation Limited Sponsored ADRs","Pink","Australia","AT:TLS","Asx - All Markets","Communication Services","$34,205,124,631","0.70%","23,348","Analyze"
"FSUGY","Fortescue Metals Group Ltd Sponsored ADRs","OTCQX","Australia","AT:FMG","Asx - All Markets","Materials","$33,914,798,572","12.18%","21,302","Analyze"
"UOVEY","United Overseas Bank Ltd. (Singapore) Sponsored ADRs","Pink","Singapore","SP:U11","Singapore Exchange","Financials","$33,545,933,665","2.47%","23,860","Analyze"
"ADRNY","Royal Ahold Delhaize N.V. Sponsored ADRs","OTCQX","The Netherlands","NA:AD","Nyse Euronext - Euronext Amsterdam","Consumer Staples","$33,536,399,435","2.59%","38,985","Analyze"
"ENGIY","ENGIE SA Sponsored ADRs","Pink","France","FP:ENGI","Euronext Paris","Utilities","$33,533,874,601","3.85%","119,012","Analyze"
"SHZHY","Shenzhou Intl Grp Uns/Adrs","Pink","China","","","Unknown","$33,424,901,608","8.14%","0","Analyze"
"DBOEY","Deutsche Boerse AG Unsponsored ADRs","Pink","Germany","GF:DB1","Frankfurt Stock Exchange","Financials","$33,060,000,000","17.24%","45,343","Analyze"
"EONGY","E.ON SE Sponsored ADRs","Pink","Germany","GF:EOAN","Frankfurt Stock Exchange","Utilities","$33,038,910,000","0.00%","139,338","Analyze"
"BRDCY","Bridgestone Corp Unsp/Adrs","Pink","Japan","JT:5108","Tokyo Stock Exchange","Consumer Discretionary","$32,744,474,379","3.46%","45,754","Analyze"
"CLPBY","Coloplast A/S Sponsored ADRs","Pink","Denmark","DC:COLO-B","Omx Nordic Exchange Copenhagen A/S","Health Care","$32,432,400,000","2.19%","23,191","Analyze"
"GELYY","Geely Autombl Hl Unsp/Adrs","Pink","China","HK:0175","Hong Kong Exchange","Consumer Discretionary","$32,329,864,690","0.26%","0","Analyze"
"SDVKY","Sandvik AB Sponsored ADRs Class B","Pink","Sweden","SS:SAND","Nasdaq Omx Nordic","Industrials","$31,776,104,201","1.56%","41,413","Analyze"
"ALPMY","Astellas Pharma Unsp/Adrs","Pink","Japan","","","Unknown","$31,706,233,887","2.32%","0","Analyze"
