"Symbol","Name","Category","Crosslist/ADR symbol","Country of incorporation","GICS Sector","Market cap","Average Volume","Action"
"TCEHY","Tencent Holdings Ltd. Unsponsored ADRs","ADRs","HK:0700","Cayman Islands","Communication Services","$629,226,518,968","17,735,152","Analyze"
"TCTZF","Tencent Holdings Limited","Common stocks","HK:0700","","Communication Services","$628,171,877,386","93,099","Analyze"
"MPNGF","Meituan Dianping Ord Cl B","Common stocks","HK:3690","","Consumer Discretionary","$206,051,931,030","0","Analyze"
"MPNGY","Meituan Unsp/Adrs","ADRs","HK:3690","Cayman Islands","Consumer Discretionary","$205,911,246,498","30,093","Analyze"
"CICHY","China Construction Bank Corporation Unsponsored ADRs Class H","ADRs","CG:601939","China","Financials","$169,373,987,850","41,257","Analyze"
"JDCMF","JD.Com Inc","Common stocks","HK:9618","","Consumer Discretionary","$132,051,184,259","0","Analyze"
"WXXWY","Wuxi Biologics  Unsp/Adrs","ADRs","HK:2269","Cayman Islands","Health Care","$64,618,997,173","48,586","Analyze"
"PNGAY","Ping An Insurance (Group) Company of China Ltd. Sponsored ADRs Class H","ADRs","CG:601318","China","Financials","$56,061,635,205","251,851","Analyze"
"IDCBY","Industrial and Commercial Bank of China Limited Unsponsored ADRs Class H","ADRs","CG:601398","China","Financials","$48,865,047,087","68,347","Analyze"
"ANPDY","Anta Sports Prds Unsp/Adrs","ADRs","","","Unknown","$45,813,857,229","0","Analyze"
"BYDDF","BYD Company Limited","Common stocks","HK:1211","","Communication Services","$38,252,000,000","57,673","Analyze"
"BYDDY","BYD Company Limited Unsponsored ADRs","ADRs","HK:1211","China","Consumer Discretionary","$38,225,800,000","294,543","Analyze"
"SHZHY","Shenzhou Intl Grp Uns/Adrs","ADRs","","","Unknown","$33,424,901,608","0","Analyze"
"GELYY","Geely Autombl Hl Unsp/Adrs","ADRs","HK:0175","Cayman Islands","Consumer Discretionary","$32,329,864,690","0","Analyze"
"SOTGY","Sunny Optical Tech Adrs","ADRs","HK:2382","Cayman Islands","Information Technology","$29,865,023,632","926","Analyze"
"BACHY","Bank of China Limited Unsponsored ADRs Class H","ADRs","HK:3988","China","Financials","$29,736,081,488","96,826","Analyze"
"CKHUY","CK Hutchison Holdings Unsp/Adrs","ADRs","HK:0001","Cayman Islands","Industrials","$26,158,437,030","333,406","Analyze"
"CKHUF","CK Hutchison Holdings Limited","Common stocks","HK:0001","","Industrials","$25,934,929,280","900","Analyze"
"TSYHY","TravelSky Technology Ltd. Sponsored ADRs","ADRs","HK:0696","China","Information Technology","$19,238,712,800","4,066","Analyze"
"ALBHF","Alibaba Health Info Tech","Common stocks","HK:0241","","Health Care","$19,155,544,400","0","Analyze"
"XYIGF","Xinyi Glass Hlgds Ltd Ord","Common stocks","","","Unknown","$10,428,881,050","12,027","Analyze"
"ACGBF","Agricultural Bank Of China","Common stocks","CG:601288","","Financials","$10,254,471,353","6,600","Analyze"
"PPCCF","PICC Property and Casualty Company","Common stocks","HK:2328","","Financials","$6,082,417,590","0","Analyze"
"CBUMY","China National Building Material Co. Ltd. Sponsored ADRs Class H","ADRs","HK:3323","China","Materials","$5,970,260,286","1,175","Analyze"
"GNENF","Ganfeng Lithium Co Ltd","Common stocks","HK:1772","","Materials","$5,541,933,075","16,962","Analyze"
"TSGTY","Tsingtao Brewery Co Ltd Sponsored ADRs Class H","ADRs","HK:0168","China","Consumer Staples","$5,232,692,610","899","Analyze"
"UPCHY","Uni-President China Holdings Ltd. Sponsored ADRs","ADRs","HK:0220","Cayman Islands","Consumer Staples","$3,971,195,680","7","Analyze"
"WEICY","Weichai Pwr Co Unsp/Adrs","ADRs","HK:2338","China","Industrials","$3,893,366,400","17,333","Analyze"
"NWSGY","NWS Holdings Limited Sponsored ADRs","ADRs","HK:0659","Bermuda","Industrials","$3,879,848,747","1,284","Analyze"
"YZCAY","Yanzhou Coal Mining Co. Ltd. Sponsored ADRs Class H","ADRs","HK:1171","China","Energy","$3,695,500,000","10,465","Analyze"
"YZCHF","Yanzhou Coal Mining Company Limited H Shares","Common stocks","HK:1171","","Energy","$3,490,947,000","0","Analyze"
"AIRYY","Air China Limited Sponsored ADRs Class H","ADRs","HK:0753","China","Industrials","$3,306,804,765","800","Analyze"
"JIXAY","Jiangxi Copper Company Limited Sponsored ADRs","ADRs","HK:0358","China","Materials","$2,779,126,446","360","Analyze"
"FVTI","Fortune Valley Treasures Inc.","Common stocks","","","Consumer Discretionary","$1,603,062,886","0","Analyze"
"SOLLY","Shui On Land Ltd. Sponsored ADRs","ADRs","HK:0272","Cayman Islands","Real Estate","$1,459,261,150","0","Analyze"
"JEXYY","Jiangsu Expressway Co. Ltd. Sponsored ADRs Class H","ADRs","HK:0177","China","Industrials","$1,215,890,000","1,000","Analyze"
"SIHBY","Shenzhen Investment Holdings Bay Area Development Company Limited Sponsored ADRs","ADRs","HK:0604","Hong Kong","Real Estate","$989,222,580","1,540","Analyze"
"DIPGY","Datang International Power Generation Co. Ltd. Sponsored ADRs Class H","ADRs","HK:0991","China","Utilities","$947,146,317","433","Analyze"
"SLNLY","Stella International Holdings Limited Sponsored ADRs","ADRs","HK:1836","Cayman Islands","Consumer Discretionary","$927,108,767","0","Analyze"
"ULNV","Porter Holding International Inc.","Common stocks","","","Industrials","$624,975,300","134","Analyze"
"CTJHY","CITIC Resources Holdings Limited Sponsored ADRs","ADRs","HK:1205","Bermuda","Industrials","$361,455,451","0","Analyze"
"AIXN","AiXin Life International Inc.","Common stocks","","","Consumer Discretionary","$274,999,401","1,124","Analyze"
"ATXG","Addentax Group Corp.","Common stocks","","","Unknown","$200,197,530","0","Analyze"
"URYL","United Royale Holdings Corp.","Common stocks","","","Consumer Staples","$113,592,310","0","Analyze"
"DPNEY","Daphne International Holdings Limited Sponsored ADRs","ADRs","HK:0210","Cayman Islands","Unknown","$50,702,883","0","Analyze"
"WETH","WETOUCH TECHNOLOGY INC","Common stocks","","","Unknown","$50,580,322","0","Analyze"
"UWHGF","UNITED WORLD HLDG GRP LTD","Common stocks","","","Unknown","$44,709,586","200","Analyze"
"ZXAIY","China Zenix Auto International Ltd. Sponsored ADRs","ADRs","","","Consumer Discretionary","$43,365,000","6,707","Analyze"
"IINX","Ionix Technology Inc.","Common stocks","","","Information Technology","$18,651,501","257,107","Analyze"
"VCOR","VISIBER57 CORP","Common stocks","","","Unknown","$13,200,000","0","Analyze"
"CHHE","China Health Industries Holdings Inc.","Common stocks","","","Consumer Staples","$13,173,487","0","Analyze"
"ELRE","Yinfu Gold Corporation","Common stocks","","","Communication Services","$8,231,601","0","Analyze"
"ABQQ","AB International Group Corp","Common stocks","","","Information Technology","$7,378,212","30,828","Analyze"
"DBUB","DBUB Group Inc.","Common stocks","","","Financials","$7,365,013","0","Analyze"
"SEII","Sharing Economy International Inc.","Common stocks","","","Industrials","$6,699,808","884,532","Analyze"
"OGAA","ORGANIC AGRICULTURAL CO","Common stocks","","","Unknown","$6,475,734","7,017","Analyze"
"VEII","Value Exchange International Inc.","Common stocks","","","Unknown","$5,991,071","0","Analyze"
"JRSS","JRSIS Health Care Corp.","Common stocks","","","Health Care","$5,495,428","405","Analyze"
"SIAF","Sino Agro Food Inc.","Common stocks","","","Consumer Staples","$4,124,013","80,720","Analyze"
"ZZLL","ZZLL Information Technology Inc.","Common stocks","","","Unknown","$4,053,462","2,875","Analyze"
"GTVI","Joway Health Industries Group Inc.","Common stocks","","","Unknown","$2,805,040","0","Analyze"
"QDMI","QDM INTL INC","Common stocks","","","Unknown","$1,889,937","0","Analyze"
"RZZN","JiaLiJia Group Corporation Limited","Common stocks","","","Financials","$1,846,338","0","Analyze"
"JFIL","Jubilant Flame International LTD.","Common stocks","","","Unknown","$1,172,892","267","Analyze"
"YUANF","Fincera Inc","Common stocks","","","Financials","$489,235","10,000","Analyze"
"CNTFY","China Techfaith Wireless Communication Technology Ltd. Sponsored ADRs","ADRs","","","Unknown","$127,044","2,412","Analyze"
"XTEG","XT Energy Group Inc.","Common stocks","","","Industrials","$106,208","5,000","Analyze"
"PACQF","Prime Acquisition Corp.","Common stocks","","","Financials","$3,260","7,500","Analyze"
"JMEXF","JMAX INTERNATIONAL LTD","Common stocks","","","Unknown","$0","0","Analyze"